matchId,team1Id,team1Side,team1win,team1score,team2Id,team2Side,team2win,team2score,gameweek,refereeId
2517036,2444,home,lose,1,2445,away,win,4,34,379444
2517037,2482,home,win,3,2447,away,lose,1,34,384936
2517038,2457,home,lose,2,2975,away,win,6,34,387276
2517039,2453,home,win,2,2481,away,lose,0,34,378957
2517040,2449,home,win,1,2462,away,lose,0,34,387273
2517041,2455,away,lose,2,2446,home,win,3,34,381835
2517042,2454,away,lose,1,2450,home,win,2,34,384898
2517043,2443,away,win,2,2460,home,lose,1,34,378970
2517044,2451,home,win,4,2463,away,lose,1,34,459927
2517027,2447,home,lose,1,2460,away,win,2,33,378945
2517028,2975,home,win,4,2451,away,lose,1,33,381840
2517029,2444,away,win,3,2463,home,lose,1,33,387146
2517030,2446,away,tie,0,2443,home,tie,0,33,383490
2517031,2453,away,lose,1,2454,home,win,3,33,384936
2517032,2462,home,win,3,2450,away,lose,0,33,384973
2517033,2481,home,lose,1,2449,away,win,2,33,387272
2517034,2457,away,lose,1,2455,home,win,3,33,383902
2517035,2445,home,win,2,2482,away,lose,0,33,384952
2517022,2447,away,tie,1,2443,home,tie,1,32,384898
2517025,2975,away,lose,0,2460,home,win,3,32,378957
2517024,2445,away,win,1,2446,home,lose,0,32,383888
2517018,2444,home,win,4,2462,away,lose,1,32,383491
2517020,2457,home,tie,2,2481,away,tie,2,32,381840
2517021,2453,home,win,3,2463,away,lose,2,32,384973
2517023,2449,home,tie,1,2454,away,tie,1,32,385544
2517026,2450,away,win,3,2451,home,lose,1,32,378945
2517019,2482,home,win,3,2455,away,lose,1,32,379378
2517011,2449,away,tie,2,2463,home,tie,2,31,381840
2517014,2481,home,win,2,2460,away,lose,0,31,387273
2517009,2447,home,win,4,2446,away,lose,0,31,459927
2517010,2482,away,win,5,2975,home,lose,2,31,383888
2517013,2457,away,win,3,2462,home,lose,0,31,379444
2517015,2453,away,lose,0,2450,home,win,1,31,383336
2517016,2444,away,win,3,2455,home,lose,0,31,378970
2517017,2445,home,win,2,2443,away,lose,0,31,383902
2517012,2454,home,win,3,2451,away,lose,0,31,379359
2517006,2453,away,lose,0,2460,home,win,2,30,381835
2517003,2975,away,tie,1,2443,home,tie,1,30,383491
2517004,2447,away,lose,0,2449,home,win,2,30,384936
2517000,2444,home,win,5,2454,away,lose,1,30,387272
2517001,2482,home,win,2,2450,away,lose,0,30,385544
2517002,2457,home,win,2,2463,away,lose,1,30,383902
2517005,2462,away,lose,1,2446,home,win,4,30,384898
2517008,2445,home,tie,1,2455,away,tie,1,30,387276
2517007,2481,away,tie,0,2451,home,tie,0,30,379378
2516992,2975,home,lose,1,2446,away,win,4,29,384973
2516996,2482,away,tie,1,2462,home,tie,1,29,378945
2516991,2445,away,lose,0,2447,home,win,3,29,379378
2516998,2449,away,lose,2,2450,home,win,3,29,383491
2516993,2460,away,tie,1,2463,home,tie,1,29,383336
2516994,2453,home,lose,0,2451,away,win,2,29,379444
2516995,2457,away,lose,1,2454,home,win,2,29,387146
2516997,2444,away,win,4,2481,home,lose,1,29,459927
2516999,2455,home,win,2,2443,away,lose,1,29,383888
2516988,2454,away,tie,0,2460,home,tie,0,28,384936
2516985,2462,away,lose,1,2443,home,win,2,28,384952
2516984,2457,home,tie,0,2451,away,tie,0,28,384973
2516982,2444,home,win,6,2447,away,lose,0,28,378957
2516983,2482,home,win,6,2463,away,lose,0,28,383490
2516986,2453,away,lose,0,2449,home,win,2,28,379359
2516987,2481,away,tie,0,2446,home,tie,0,28,387273
2516989,2975,away,win,3,2455,home,lose,2,28,381835
2516990,2445,home,tie,1,2450,away,tie,1,28,384898
2516974,2444,away,lose,1,2975,home,win,2,27,381840
2516975,2446,away,lose,0,2463,home,win,2,27,385544
2516973,2447,home,win,1,2455,away,lose,0,27,379378
2516981,2449,away,win,1,2451,home,lose,0,27,383336
2516977,2482,away,tie,3,2454,home,tie,3,27,378970
2516978,2462,home,win,3,2460,away,lose,0,27,378945
2516979,2481,home,lose,1,2443,away,win,3,27,379444
2516980,2457,away,win,2,2450,home,lose,1,27,387272
2516976,2445,away,win,2,2453,home,lose,1,27,381858
2516968,2443,home,win,3,2463,away,lose,1,26,381858
2516965,2447,home,win,3,2462,away,lose,2,26,384973
2516972,2445,home,tie,0,2975,away,tie,0,26,379359
2516969,2446,home,win,2,2454,away,lose,0,26,383490
2516964,2444,home,win,6,2450,away,lose,0,26,383491
