goalScored,playerankScore,matchId,playerId,roleCluster,minutesPlayed
0,0.0053,2057991,10014,right CB,90
0,0.0009,2057992,10014,right CB,41
0,-0.0013,2057998,100140,central MF,90
0,0.0031,2058000,100140,left CB,90
0,0.0035,2499869,10108,right CB,90
0,0.0071,2499879,10108,right CB,90
0,0.0109,2499901,10108,right CB,90
0,0.0224,2499914,10108,right CB,90
0,0.0082,2499922,10108,right CB,90
0,0.0177,2499964,10108,right CB,90
0,-0.0073,2499972,10108,right CB,90
0,0.0154,2499986,10108,right CB,90
0,0.0087,2499992,10108,right CB,90
0,0.0157,2500020,10108,right CB,90
0,0.0657,2500047,10108,right CB,90
1,0.0294,2500049,10108,right CB,90
0,0.0049,2500066,10108,right CB,90
0,0.014,2500069,10108,right CB,90
0,0.0175,2500080,10108,right CB,90
0,0.0226,2500089,10108,right CB,90
